date,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max
11-01,1.5090909091,2.65,0.4,2.9272727273,3.45,2.4833333333,2.925,3.675,1.2083333333,2.0416666667,0.3583333333,1.1666666667,1.9916666667,2.8333333333,2.95,0.1916666667,2.1416666667,2.2083333333,2.95,0.025,7.0666666667,0.9416666667,1.5083333333,0.8333333333,3.0416666667,1.8,2.4416666667,0.425,1.3285714286,0.425,2.55,2.00625,0.6625,0.65625,0.90625,3.6875,0.6625,0,4.85,0.1375,0.58,1.55,2.81875,0.29375,1.35625,3.51875,0.3195833333,0.8479166667,2.5366666667,3.2866666667,0,1.175,1.55,7.0666666667
11-02,1.5181818182,2.65,0.4,2.9363636364,3.45,2.5083333333,3.5,4.8333333333,1.2083333333,2.0416666667,0.575,1.1833333333,2.0166666667,2.8333333333,2.9666666667,0.6166666667,2.1666666667,2.2083333333,3,0.025,7.075,0.95,1.55,0.8416666667,3.05,1.8166666667,2.45,0.425,1.3285714286,0.44375,2.55,2.01875,0.6625,0.65625,0.9125,3.71875,0.6625,0,4.88125,0.175,0.6,1.55,2.84375,0.29375,1.38125,3.525,0.41,0.8558333333,2.5416666667,3.48,0,1.18125,1.55,7.075
11-03,1.5272727273,2.65,0.45,2.9363636364,3.45,2.55,4.2333333333,4.8916666667,1.2083333333,2.05,1.0583333333,1.1833333333,2.0833333333,2.8416666667,3,0.7166666667,2.2083333333,2.2083333333,3.0083333333,0.025,7.1333333333,0.9666666667,1.575,0.85,3.1083333333,1.85,2.45,0.425,1.3357142857,0.44375,2.55,2.03125,0.6625,0.6625,1.13125,3.7375,0.66875,0,4.93125,0.2125,0.6,1.55,3.04375,0.29375,1.41875,3.525,0.4325,0.985,2.55,3.6225,0,1.2625,1.575,7.1333333333
11-04,1.5272727273,2.66,0.45,2.9545454545,3.45,2.5583333333,4.6333333333,4.8916666667,1.2083333333,2.05,1.0916666667,1.1833333333,2.1083333333,2.85,3.55,0.775,2.2416666667,2.2083333333,3.0166666667,0.025,7.3166666667,0.9833333333,1.6166666667,0.875,3.2166666667,1.85,2.4833333333,0.425,1.3357142857,0.44375,2.55,2.04375,0.66875,0.675,1.15625,4.16875,0.95625,0,4.93125,0.225,0.6,1.55,3.69375,0.29375,1.85625,3.5375,0.4325,1.005,2.5566666667,3.97875,0,1.29375,1.85,7.3166666667
11-05,1.5272727273,2.65,0.45,2.9636363636,3.45,2.5583333333,4.675,4.95,1.2083333333,2.05,1.0916666667,1.1833333333,2.1083333333,2.85,3.7583333333,0.7916666667,2.2666666667,2.2083333333,3.0166666667,0.025,7.9166666667,1,1.6166666667,0.8916666667,3.2833333333,1.85,2.4833333333,0.4333333333,1.3357142857,0.44375,2.55,2.45,0.66875,0.73125,1.16875,5.18125,1.39375,0,4.93125,0.225,0.6,1.55,3.725,0.29375,1.95,3.54375,0.4375,1.1070833333,2.5566666667,4.3083333333,0,1.3625,1.85,7.9166666667
11-06,1.5272727273,2.65,0.45,2.9909090909,3.45,2.5833333333,4.7,5.6416666667,1.2083333333,2.05,1.1166666667,1.1833333333,2.1083333333,2.85,3.7916666667,0.8916666667,2.2833333333,2.2083333333,3.0416666667,0.025,8.05,1.0333333333,1.6166666667,0.9083333333,3.3416666667,1.85,2.4833333333,0.4333333333,1.3357142857,0.44375,2.55,3.09375,0.66875,0.75625,1.1875,5.24375,1.46875,0,4.93125,0.26875,0.6133333333,1.55,3.7625,0.3,1.9625,3.55,0.4375,1.13,2.6366666667,4.3366666667,0,1.36875,1.85,8.05
11-07,1.5272727273,2.65,0.45,3,3.45,2.5833333333,5.15,5.725,1.2083333333,2.05,1.175,1.1833333333,2.1083333333,2.8666666667,3.8583333333,1.0583333333,2.2833333333,2.2083333333,3.0416666667,0.025,8.4916666667,1.05,1.65,0.95,3.5416666667,1.8583333333,2.4833333333,0.4333333333,1.3357142857,0.44375,2.55,3.14375,0.66875,0.7625,1.2,5.325,1.49375,0,4.93125,0.3625,0.6133333333,1.55,3.78125,0.3,2.00625,3.55625,0.4375,1.1766666667,2.6366666667,4.5020833333,0,1.39375,1.8583333333,8.4916666667
11-08,1.5272727273,2.68,0.45,3.0363636364,3.45,2.5833333333,5.225,5.725,1.2083333333,2.05,1.375,1.3,2.1083333333,2.8666666667,3.9666666667,1.1083333333,2.2916666667,2.3833333333,3.0416666667,0.025,8.5333333333,1.0583333333,1.7666666667,0.975,3.7666666667,1.8583333333,2.4833333333,0.4666666667,1.3428571429,0.44375,2.5625,3.675,0.68125,0.79375,1.23125,5.35,1.49375,0,4.9375,0.36875,0.86,1.55,3.7875,0.3,2.0375,3.575,0.44625,1.2129166667,2.6606666667,4.5491666667,0,1.45625,1.8583333333,8.5333333333
11-09,1.5272727273,2.7,1.68,3.2181818182,3.45,2.5833333333,5.225,5.725,1.2083333333,2.05,1.425,1.3,2.1083333333,2.875,4.05,1.1166666667,2.2916666667,2.3833333333,3.6583333333,0.025,8.5416666667,1.0666666667,1.8916666667,0.975,4.0333333333,1.8833333333,2.4833333333,0.4666666667,1.35,0.44375,2.68125,3.69375,0.74375,0.81875,1.23125,5.3625,1.49375,0,4.9375,0.38125,1.1933333333,1.55,3.79375,0.3,2.05,3.59375,0.4529166667,1.245,2.69625,4.5825,0,1.49375,1.8916666667,8.5416666667
11-10,1.5272727273,2.71,2.07,3.2272727273,3.45,2.5833333333,5.225,5.725,1.225,2.0583333333,1.425,1.4083333333,2.1583333333,2.875,4.1666666667,1.1166666667,2.3166666667,2.3833333333,4.3666666667,0.025,8.5833333333,1.0666666667,2.5416666667,1.075,4.05,1.8916666667,2.4833333333,0.4666666667,1.4214285714,0.45,2.69375,3.725,1.60625,0.825,1.25625,5.3875,1.49375,0,4.9375,0.38125,1.3133333333,1.55625,4.075,0.3,2.0625,3.6,0.4566666667,1.410952381,2.70675,4.7091666667,0,1.6,2.0625,8.5833333333
