date,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max,Median Peak SWE
11-23,0.925,2.5875,0.575,0.1375,1.0625,2.175,0.925,1.1125,3.1,0.0375,2.0375,0.975,1.9125,0.3875,3.275,0.2375,0.7875,1.35,5.16,0.19,0.33,0.04,0.3,0.5142857143,2.0714285714,0.9285714286,0.9642857143,1.5857142857,0.3642857143,1.5214285714,0.5642857143,0,0.2285714286,1.2428571429,0.4357142857,0.0142857143,2.2,0.3642857143,0.4642857143,1.5928571429,0.118,0.3735714286,1.3071428571,2.2775,0,0.6857142857,0.925,5.16,
11-24,0.925,2.5875,0.6375,0.1375,0.975,2.2,0.9625,1.125,3.1,0.0375,2.0375,0.9625,1.8625,0.3875,3.2625,0.2875,0.7875,1.3125,5.16,0.19,0.34,0.06,0.3,0.5142857143,2.3571428571,0.9357142857,0.9428571429,2.0571428571,0.3714285714,1.5142857143,0.5571428571,0,0.2285714286,1.2428571429,0.45,0.0285714286,2.1928571429,0.4285714286,0.4857142857,1.5428571429,0.122,0.4039285714,1.2846428571,2.4032142857,0,0.6928571429,0.925,5.16,
11-25,0.8875,2.6125,0.6375,0.2,0.975,2.25,0.975,1.1375,3.1,0.0375,2.0375,0.975,1.8375,0.4,3.2625,0.775,0.7875,1.3,5.2,0.19,0.34,0.06,0.3153846154,0.5142857143,2.3785714286,0.8785714286,0.9428571429,2.0428571429,0.3714285714,1.5142857143,0.5571428571,0,0.25,1.2428571429,0.4714285714,0.0285714286,2.2214285714,0.7,0.4714285714,1.5214285714,0.164,0.4714285714,1.2771428571,2.4253571429,0,0.6785714286,0.8785714286,5.2,
11-26,0.9125,2.8875,0.75,0.2,0.975,2.2,1,1.1375,3.125,0.0375,1.975,1.0125,1.8,0.4125,3.25,1.3875,0.8,1.3,5.28,0.19,0.34,0.06,0.3307692308,0.5214285714,2.3642857143,0.8714285714,0.9428571429,2.0142857143,0.3642857143,1.5571428571,0.5571428571,0,0.25,1.4714285714,0.4785714286,0.0285714286,2.2214285714,0.7,0.7714285714,1.5,0.164,0.4957142857,1.4378571429,2.4689285714,0,0.7,0.9125,5.28,
11-27,0.925,2.8875,0.825,0.7125,1.5,2.175,1,1.1375,3.55,0.0375,1.9625,1.5125,1.7875,0.4125,3.25,1.3875,0.825,1.3,5.35,0.32,0.34,0.03,0.7923076923,0.5214285714,2.3714285714,0.85,0.9428571429,1.9857142857,0.3642857143,1.5928571429,0.6285714286,0,0.2428571429,1.4857142857,0.4785714286,0.0285714286,2.2214285714,0.7,1.0642857143,1.4857142857,0.2017857143,0.6571428571,1.5075,2.4746428571,0,0.7785714286,0.9428571429,5.35,
11-28,0.9375,2.9,0.825,0.7375,1.4375,2.2,1,1.15,3.625,0.0375,1.9625,2.1125,1.775,0.3875,3.2125,1.4,0.825,1.3,5.95,0.32,0.46,0.03,1.0307692308,0.5285714286,2.4214285714,0.8571428571,0.9428571429,1.9571428571,0.3642857143,1.7142857143,0.8714285714,0.0642857143,0.2071428571,2.3357142857,0.4785714286,0.0285714286,2.2142857143,0.7,1.0785714286,1.4714285714,0.1785714286,0.715,1.7507142857,2.5171428571,0.0285714286,0.9,1,5.95,
11-29,0.9875,2.9,0.825,0.7625,1.35,2.25,1,1.15,3.625,0.0375,2,2.0875,2.05,0.325,3.175,1.4625,0.825,1.3,6.06,0.42,0.73,0.03,1.0153846154,0.6857142857,2.9714285714,0.8357142857,0.9428571429,1.9357142857,0.3428571429,1.7214285714,1.0928571429,0.05,0.2928571429,3.6428571429,0.5,0.0285714286,2.2214285714,0.7,1.0785714286,1.4285714286,0.2442857143,0.743,1.85,3.0121428571,0.0285714286,0.9357142857,1.0153846154,6.06,
11-30,0.9875,2.9,0.825,0.75,1.35,2.3,1,1.1625,3.625,0.0375,2.1875,2.025,2.075,0.3,3.125,1.6625,0.825,1.3,6.07,0.47,0.71,0.03,1.0076923077,0.7,2.9928571429,0.8071428571,0.9428571429,1.9357142857,0.3357142857,1.7214285714,1.1571428571,0.0357142857,1.2642857143,4.7214285714,0.5,0.0285714286,2.2214285714,0.7214285714,1.05,1.4,0.2475,0.7728571429,1.85,3.0192857143,0.0285714286,1.0285714286,1.05,6.07,
12-01,0.9875,2.9125,0.85,0.75,1.35,2.375,1.0125,1.35,3.6375,0.0375,2.2625,2,2.0625,0.2875,3.0875,1.675,0.975,1.3,6.08,0.46,0.72,1.22,0.9076923077,0.6928571429,3.0142857143,0.8857142857,0.9571428571,1.9357142857,0.3357142857,1.7214285714,1.1571428571,0.0357142857,1.5,4.7785714286,0.5,0.0285714286,2.2214285714,0.75,1.05,1.4571428571,0.3260714286,0.8642857143,1.85,3.0289285714,0.0285714286,1.1,1.1571428571,6.08,
12-02,0.9625,2.9125,0.825,0.75,1.35,2.35,1.0125,1.425,3.625,0.0375,2.3375,2,2.0625,0.3,3.075,1.7625,0.95,1.275,6.08,0.5,0.72,1.99,0.8692307692,0.6857142857,3.0142857143,1.4357142857,0.9571428571,1.9357142857,0.3357142857,1.7428571429,1.1571428571,0.0357142857,1.7714285714,4.7785714286,0.5,0.0285714286,2.2857142857,0.8,1.05,1.4428571429,0.3285714286,0.8426923077,1.9682857143,3.0264285714,0.0285714286,1.2142857143,1.275,6.08,
