date,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max,Median Peak SWE
11-09,0,0,0.32,0.0454545455,0,0,0.8666666667,0.0333333333,0,0,0.2333333333,0.0083333333,0,0,0.2076923077,0.0923076923,1.0307692308,0,0.1769230769,0.0071428571,1.4142857143,0.0071428571,0.15,0,0.1714285714,0,0,0,0.0125,0.0111111111,0.0611111111,1.0333333333,0.0777777778,0.0055555556,0.0111111111,0.5166666667,0,0,0.0111111111,0,0.4941176471,0.0388888889,0.1333333333,0.0055555556,0.2444444444,0,0,0,0.1251282051,0.5076470588,0,0,0.0111111111,1.4142857143,
11-10,0,0,0.35,0.0454545455,0,0,0.8666666667,0.0333333333,0,0,0.175,0.0083333333,0,0,0.1846153846,0.0846153846,0.9615384615,0,0.5153846154,0.0071428571,1.4785714286,0,0.3142857143,0.0142857143,0.1,0,0,0,0.09375,0.0166666667,0.0388888889,1.0111111111,0.1944444444,0.0055555556,0,0.3833333333,0,0,0.0111111111,0,0.5294117647,0.0555555556,0.2333333333,0.0055555556,0.2277777778,0,0,0,0.16,0.523800905,0,0,0.0142857143,1.4785714286,
11-11,0,0,0.73,0.0454545455,0,0.0166666667,0.8583333333,0.0333333333,0,0,0.175,0.05,0.2416666667,0,0.1846153846,0.0846153846,0.9076923077,0.0384615385,0.5307692308,0.0071428571,2.1142857143,0,0.2142857143,0.0428571429,0.1,0,0,0,0.09375,0.0166666667,0.05,0.9666666667,0.3388888889,0.0055555556,0,0.4277777778,0,0,0.0111111111,0,0.5529411765,0.0055555556,0.2611111111,0.0055555556,0.2055555556,0,0,0.0011111111,0.1826923077,0.6591764706,0,0,0.0384615385,2.1142857143,
11-12,0,0,0.74,0.0545454545,0,0.5333333333,0.8416666667,0.025,0,0,0.1666666667,0.05,0.2166666667,0.4416666667,0.3692307692,0.0846153846,0.8,0.1230769231,0.6076923077,0.0071428571,2.4,0,0.1357142857,0.0642857143,0.1357142857,0,0,0,0.1,0.0222222222,0.0611111111,0.9222222222,0.3166666667,0.0166666667,0,0.4111111111,0,0,0.0111111111,0,0.5294117647,0.0055555556,0.2722222222,0.0055555556,0.1611111111,0,0,0.0055555556,0.2066666667,0.6870769231,0,0,0.0611111111,2.4,
11-13,0,0,0.71,0.0545454545,0,1.0583333333,0.8416666667,0.025,0,0,0.15,0.05,0.15,0.9,0.9153846154,0.0692307692,0.8,0.1846153846,0.5461538462,0.0071428571,2.2857142857,0,0.1142857143,0.1,0.3428571429,0,0,0,0.10625,0.0222222222,0.0722222222,0.8666666667,0.3166666667,0.0222222222,0,0.4166666667,0,0,0.0333333333,0,0.4764705882,0.0055555556,0.2611111111,0.0055555556,0.1333333333,0,0,0.0055555556,0.2458119658,0.8566666667,0,0,0.0692307692,2.2857142857,
11-14,0,0,0.73,0.0545454545,0,1.025,0.8416666667,0.025,0,0,0.125,0.0416666667,0.0833333333,1.4083333333,0.8769230769,0.0692307692,0.8,0.1923076923,0.4538461538,0.0071428571,2.2857142857,0,0.0857142857,0.0642857143,0.4571428571,0,0.0071428571,0,0.08125,0.0222222222,0.0833333333,0.7111111111,0.3111111111,0.0222222222,0,0.4166666667,0,0,0.0444444444,0,0.4294117647,0.0055555556,0.25,0.0166666667,0.1277777778,0,0,0.0071428571,0.2384615385,0.825,0,0,0.0642857143,2.2857142857,
11-15,0,0,0.65,0.0545454545,0,1,0.825,0.3583333333,0.075,0,0.1,0.4333333333,0.0583333333,1.9416666667,0.8461538462,0.0692307692,0.7461538462,0.4461538462,0.3769230769,0.0071428571,2.2714285714,0,0.0571428571,0.0357142857,0.4857142857,0,0.0071428571,0,0.05,0.0444444444,0.0944444444,0.5444444444,0.3,0.1055555556,0,0.4166666667,0,0,0.0444444444,0,0.3705882353,0.0055555556,0.2388888889,0.0166666667,0.0888888889,0,0,0.009047619,0.3681372549,0.7934615385,0,0.0222222222,0.0692307692,2.2714285714,
11-16,0.1545454545,0,0.63,0.0545454545,0,0.9666666667,0.825,0.375,0.1416666667,0,0.0916666667,1.1583333333,0.0583333333,2.3166666667,0.8384615385,0.0615384615,0.9,0.3692307692,0.2923076923,0.0071428571,2.1785714286,0,0.0571428571,0.0285714286,0.5285714286,0,0.0071428571,0,0.04375,0.0444444444,0.0888888889,0.4888888889,0.2833333333,0.2055555556,0.0111111111,0.6166666667,0.0111111111,0,0.0444444444,0,0.3055555556,0.0055555556,0.2444444444,0.0166666667,0.0722222222,0,0,0.019047619,0.3029059829,0.8753846154,0,0.0388888889,0.0722222222,2.3166666667,
11-17,0.2272727273,0,0.63,0.0545454545,0.0083333333,0.9333333333,0.8166666667,0.4,0.1416666667,0,0.075,1.1083333333,0.0583333333,2.325,0.8538461538,0.0615384615,0.9461538462,0.3384615385,0.2538461538,0.0071428571,2.15,0,0.0928571429,0.05,0.4857142857,0,0.0142857143,0,0.05,0.05,0.1,0.4222222222,0.2055555556,0.15,0.0444444444,1.1166666667,0.0111111111,0,0.0777777778,0,0.2388888889,0.0055555556,0.2388888889,0.0277777778,0.05,0,0,0.0455555556,0.2508547009,0.941025641,0,0.0444444444,0.0777777778,2.325,
11-18,0.2363636364,0,0.59,0.0727272727,0.1416666667,0.9583333333,0.7833333333,0.3833333333,0.2583333333,0,0.0666666667,1.0916666667,0.0583333333,2.3166666667,0.8538461538,0.0538461538,0.9846153846,0.3230769231,0.2307692308,0.0071428571,2.0857142857,0,0.0928571429,0.05,0.4642857143,0,0.0142857143,0,0.04375,0.05,0.1,0.4222222222,0.1833333333,0.0944444444,0.0444444444,1.0777777778,0.0166666667,0,0.0777777778,0,0.1666666667,0.0111111111,0.2277777778,0.0222222222,0.05,0,0,0.0455555556,0.2539393939,0.9741025641,0,0.0444444444,0.0928571429,2.3166666667,
11-19,0.2636363636,0,0.66,0.3363636364,0.1666666667,0.8583333333,0.8083333333,0.325,0.4666666667,0,0.0333333333,1.1666666667,0.05,2.325,1,0.0538461538,0.9384615385,0.3384615385,0.2153846154,0.0071428571,2,0,0.0857142857,0.05,0.45,0,0.0142857143,0,0.0375,0.05,0.1,0.4222222222,0.1222222222,0.1166666667,0.0555555556,1,0.05,0,0.0777777778,0,0.0666666667,0.0055555556,0.2277777778,0.0333333333,0.05,0.15,0,0.05,0.3340909091,0.9753846154,0,0.0388888889,0.0857142857,2.325,
11-20,0.3090909091,0,0.62,0.4363636364,0.225,0.775,0.8,0.3083333333,0.4833333333,0,0.0333333333,1.1333333333,0.0583333333,2.2916666667,1.1923076923,0.0538461538,0.8692307692,0.3076923077,0.1923076923,0.0071428571,1.9857142857,0,0.1857142857,0.0571428571,0.4428571429,0,0.0214285714,0,0.0375,0.05,0.1055555556,0.4,0.1055555556,0.1166666667,0.0666666667,0.9388888889,0.0444444444,0,0.0777777778,0.0777777778,0.0055555556,0.0055555556,0.2388888889,0.0611111111,0.0444444444,0.4444444444,0,0.0455555556,0.3089393939,0.911025641,0,0.0388888889,0.1055555556,2.2916666667,
